Username,Password,MBTI,Label
nihaoo,123,,Social Coders 🤝
1321313,123,,Knowledge Hunters 📚
131312312,123,,Knowledge Hunters 📚
13213123,123131,,Knowledge Hunters 📚
12123123,13213,,Knowledge Hunters 📚
123132131,12313,,Knowledge Hunters 📚
1312313qewq,qew,,Knowledge Hunters 📚
1231qwqeq,1312qwe,,Social Coders 🤝
13qweqeq,qweq,,Social Coders 🤝
132qweqeq,131,,Social Coders 🤝
weqeqe,13213,,Social Coders 🤝
1231qwewq,qewq,,Innovators 🚀
wdasada,1231,,Social Coders 🤝
2133623,qeq,,Social Coders 🤝
animwaera,123,,Social Coders 🤝
dfahoqwhr,12314,,Innovators 🚀
1342fasdf,asdfafdsa,,Innovators 🚀
vaslutqjt;1,13124,,Knowledge Hunters 📚
3o2y43yh3,23y324y,,Social Coders 🤝
23y424y3,2432y,,Competitive Coders 🏆
24y32y2,234y32y,,Competitive Coders 🏆
wrewer,13,,Innovators 🚀
1313,12331,,Knowledge Hunters 📚
aefafs,1231,,Social Coders 🤝
qerqerwq,123121qwer,,Knowledge Hunters 📚
eqwrwqrq,qwrwqre,,Knowledge Hunters 📚
q345325,wrtwrte,,Competitive Coders 🏆
wrtwtwt,wetwtrw,,Competitive Coders 🏆
hkbbub,ihhihui,,Competitive Coders 🏆
qrqwrq,qrqwr,,Social Coders 🤝
aeafefa,aefasf,,Social Coders 🤝
qrwqwrwq,123132,,Competitive Coders 🏆
qewrwqr,123,,Innovators 🚀
qrweqreqwre,qwerq,,Competitive Coders 🏆
wetwtr,wrtwrt,,Competitive Coders 🏆
nihaoo1,121412,,Competitive Coders 🏆
qwerqer,12312,,Competitive Coders 🏆
qwerqerw,qwerq,,Competitive Coders 🏆
